RRRP3,.SA,RRRP3.SA
TTEN3,.SA,TTEN3.SA
ABCB4,.SA,ABCB4.SA
AERI3,.SA,AERI3.SA
AESB3,.SA,AESB3.SA
ALSO3,.SA,ALSO3.SA
AALR3,.SA,AALR3.SA
ALPA4,.SA,ALPA4.SA
ALUP11,.SA,ALUP11.SA
ABEV3,.SA,ABEV3.SA
AMBP3,.SA,AMBP3.SA
ANIM3,.SA,ANIM3.SA
ARZZ3,.SA,ARZZ3.SA
ARML3,.SA,ARML3.SA
ASAI3,.SA,ASAI3.SA
AURE3,.SA,AURE3.SA
AZUL4,.SA,AZUL4.SA
B3SA3,.SA,B3SA3.SA
BPAN4,.SA,BPAN4.SA
BRSR6,.SA,BRSR6.SA
BBSE3,.SA,BBSE3.SA
BMOB3,.SA,BMOB3.SA
BLAU3,.SA,BLAU3.SA
BOAS3,.SA,BOAS3.SA
BRPR3,.SA,BRPR3.SA
BBDC3,.SA,BBDC3.SA
BBDC4,.SA,BBDC4.SA
BRAP4,.SA,BRAP4.SA
BBAS3,.SA,BBAS3.SA
AGRO3,.SA,AGRO3.SA
BRKM5,.SA,BRKM5.SA
BRFS3,.SA,BRFS3.SA
BPAC11,.SA,BPAC11.SA
CXSE3,.SA,CXSE3.SA
CAML3,.SA,CAML3.SA
CRFB3,.SA,CRFB3.SA
CBAV3,.SA,CBAV3.SA
CCRO3,.SA,CCRO3.SA
CEAB3,.SA,CEAB3.SA
CMIG3,.SA,CMIG3.SA
CMIG4,.SA,CMIG4.SA
CIEL3,.SA,CIEL3.SA
CLSA3,.SA,CLSA3.SA
COGN3,.SA,COGN3.SA
CSMG3,.SA,CSMG3.SA
CPLE6,.SA,CPLE6.SA
CSAN3,.SA,CSAN3.SA
CPFE3,.SA,CPFE3.SA
CMIN3,.SA,CMIN3.SA
CURY3,.SA,CURY3.SA
CVCB3,.SA,CVCB3.SA
CYRE3,.SA,CYRE3.SA
DASA3,.SA,DASA3.SA
DXCO3,.SA,DXCO3.SA
PNVL3,.SA,PNVL3.SA
DIRR3,.SA,DIRR3.SA
ECOR3,.SA,ECOR3.SA
ELET3,.SA,ELET3.SA
ELET6,.SA,ELET6.SA
EMBR3,.SA,EMBR3.SA
ENAT3,.SA,ENAT3.SA
ENGI11,.SA,ENGI11.SA
ENEV3,.SA,ENEV3.SA
EGIE3,.SA,EGIE3.SA
EQTL3,.SA,EQTL3.SA
ESPA3,.SA,ESPA3.SA
EVEN3,.SA,EVEN3.SA
EZTC3,.SA,EZTC3.SA
FHER3,.SA,FHER3.SA
FESA4,.SA,FESA4.SA
FLRY3,.SA,FLRY3.SA
GFSA3,.SA,GFSA3.SA
GGBR4,.SA,GGBR4.SA
GOAU4,.SA,GOAU4.SA
GOLL4,.SA,GOLL4.SA
GGPS3,.SA,GGPS3.SA
GRND3,.SA,GRND3.SA
GMAT3,.SA,GMAT3.SA
NTCO3,.SA,NTCO3.SA
SBFG3,.SA,SBFG3.SA
SOMA3,.SA,SOMA3.SA
GUAR3,.SA,GUAR3.SA
HAPV3,.SA,HAPV3.SA
HBSA3,.SA,HBSA3.SA
HYPE3,.SA,HYPE3.SA
IGTI11,.SA,IGTI11.SA
MEAL3,.SA,MEAL3.SA
IFCM3,.SA,IFCM3.SA
INTB3,.SA,INTB3.SA
MYPK3,.SA,MYPK3.SA
RANI3,.SA,RANI3.SA
IRBR3,.SA,IRBR3.SA
ITSA4,.SA,ITSA4.SA
ITUB3,.SA,ITUB3.SA
ITUB4,.SA,ITUB4.SA
JALL3,.SA,JALL3.SA
JBSS3,.SA,JBSS3.SA
JHSF3,.SA,JHSF3.SA
KEPL3,.SA,KEPL3.SA
KLBN11,.SA,KLBN11.SA
LAVV3,.SA,LAVV3.SA
RENT3,.SA,RENT3.SA
LWSA3,.SA,LWSA3.SA
LOGG3,.SA,LOGG3.SA
LOGN3,.SA,LOGN3.SA
LREN3,.SA,LREN3.SA
MDIA3,.SA,MDIA3.SA
MGLU3,.SA,MGLU3.SA
POMO4,.SA,POMO4.SA
MRFG3,.SA,MRFG3.SA
MATD3,.SA,MATD3.SA
CASH3,.SA,CASH3.SA
LEVE3,.SA,LEVE3.SA
MILS3,.SA,MILS3.SA
BEEF3,.SA,BEEF3.SA
MOVI3,.SA,MOVI3.SA
MRVE3,.SA,MRVE3.SA
MLAS3,.SA,MLAS3.SA
MULT3,.SA,MULT3.SA
NEOE3,.SA,NEOE3.SA
ODPV3,.SA,ODPV3.SA
MEGA3,.SA,MEGA3.SA
ONCO3,.SA,ONCO3.SA
ORVR3,.SA,ORVR3.SA
PCAR3,.SA,PCAR3.SA
PGMN3,.SA,PGMN3.SA
PETR3,.SA,PETR3.SA
PETR4,.SA,PETR4.SA
RECV3,.SA,RECV3.SA
PRIO3,.SA,PRIO3.SA
PETZ3,.SA,PETZ3.SA
PSSA3,.SA,PSSA3.SA
PTBL3,.SA,PTBL3.SA
POSI3,.SA,POSI3.SA
QUAL3,.SA,QUAL3.SA
LJQQ3,.SA,LJQQ3.SA
RADL3,.SA,RADL3.SA
RAIZ4,.SA,RAIZ4.SA
RAPT4,.SA,RAPT4.SA
RDOR3,.SA,RDOR3.SA
ROMI3,.SA,ROMI3.SA
RAIL3,.SA,RAIL3.SA
SBSP3,.SA,SBSP3.SA
SAPR11,.SA,SAPR11.SA
SANB11,.SA,SANB11.SA
STBP3,.SA,STBP3.SA
SMTO3,.SA,SMTO3.SA
SEQL3,.SA,SEQL3.SA
SEER3,.SA,SEER3.SA
CSNA3,.SA,CSNA3.SA
SIMH3,.SA,SIMH3.SA
SQIA3,.SA,SQIA3.SA
SLCE3,.SA,SLCE3.SA
SMFT3,.SA,SMFT3.SA
SUZB3,.SA,SUZB3.SA
TAEE11,.SA,TAEE11.SA
TASA4,.SA,TASA4.SA
TRAD3,.SA,TRAD3.SA
VIVT3,.SA,VIVT3.SA
TEND3,.SA,TEND3.SA
TIMS3,.SA,TIMS3.SA
TOTS3,.SA,TOTS3.SA
TRPL4,.SA,TRPL4.SA
TRIS3,.SA,TRIS3.SA
TUPY3,.SA,TUPY3.SA
UGPA3,.SA,UGPA3.SA
UNIP6,.SA,UNIP6.SA
USIM5,.SA,USIM5.SA
VALE3,.SA,VALE3.SA
VAMO3,.SA,VAMO3.SA
VIIA3,.SA,VIIA3.SA
VBBR3,.SA,VBBR3.SA
VIVA3,.SA,VIVA3.SA
VULC3,.SA,VULC3.SA
WEGE3,.SA,WEGE3.SA
WIZC3,.SA,WIZC3.SA
YDUQ3,.SA,YDUQ3.SA
ZAMP3,.SA,ZAMP3.SA
